area_sqft,bedrooms,age_years,distance_city_km,price_lakh
849.0,5.0,33.0,17.6,66.5
2068.0,4.0,18.0,1.6,120.2
1352.0,3.0,30.0,9.6,96.7
655.0,3.0,36.0,5.2,51.2
1062.0,1.0,32.0,24.0,58.4
1911.0,3.0,4.0,20.7,103.1
2520.0,2.0,35.0,1.1,108.3
2560.0,4.0,27.0,6.2,154.3
1427.0,2.0,14.0,23.2,72.0
1911.0,5.0,10.0,21.1,119.1
2332.0,4.0,22.0,19.8,120.0
2178.0,1.0,,8.3,101.7
694.0,4.0,10.0,12.3,72.6
1172.0,3.0,35.0,22.7,65.9
2491.0,2.0,1.0,9.6,127.8
2995.0,2.0,9.0,20.2,143.1
702.0,3.0,30.0,24.9,43.4
628.0,3.0,32.0,9.9,45.9
1118.0,1.0,,2.5,62.8
1569.0,2.0,14.0,11.2,84.5
1229.0,4.0,23.0,8.5,84.7
1804.0,1.0,24.0,10.5,76.6
849.0,1.0,32.0,20.0,57.8
2117.0,4.0,32.0,1.3,112.5
1636.0,3.0,16.0,7.2,112.6
2257.0,3.0,23.0,3.0,149.6
1854.0,3.0,39.0,1.1,114.2
2560.0,4.0,18.0,8.6,146.1
682.0,2.0,11.0,1.7,63.0
521.0,5.0,5.0,21.6,71.0
687.0,5.0,16.0,8.0,69.3
1644.0,5.0,39.0,17.4,100.6
2731.0,2.0,1.0,2.2,147.3
610.0,3.0,11.0,21.4,58.9
2522.0,2.0,32.0,8.7,130.4
510.0,2.0,15.0,6.9,70.9
748.0,2.0,26.0,10.7,42.1
1183.0,1.0,5.0,4.8,68.3
2425.0,1.0,21.0,,108.9
2641.0,2.0,1.0,15.8,117.2
2578.0,4.0,,5.9,135.0
2246.0,3.0,12.0,22.9,109.7
518.0,3.0,14.0,20.4,46.8
2308.0,4.0,39.0,11.0,132.3
2931.0,4.0,10.0,9.7,168.2
2587.0,3.0,8.0,3.1,134.0
2395.0,1.0,27.0,11.9,100.9
840.0,2.0,16.0,22.1,61.3
2260.0,3.0,6.0,14.8,132.4
2304.0,3.0,14.0,2.2,143.6
2514.0,3.0,0.0,12.7,147.0
2263.0,5.0,14.0,18.5,115.4
1463.0,3.0,22.0,8.3,93.7
2000.0,1.0,38.0,6.0,82.4
2794.0,4.0,0.0,22.1,131.5
517.0,4.0,9.0,17.9,66.8
815.0,2.0,24.0,17.0,50.0
1736.0,3.0,23.0,2.6,118.3
1543.0,4.0,24.0,15.9,112.7
1110.0,2.0,36.0,1.1,76.1
2165.0,3.0,12.0,16.0,131.6
2676.0,2.0,10.0,15.5,129.7
1322.0,5.0,32.0,8.1,102.6
2613.0,3.0,19.0,10.2,138.6
1656.0,2.0,39.0,12.7,82.3
500.0,3.0,31.0,17.0,28.4
517.0,3.0,2.0,22.6,55.7
1402.0,2.0,19.0,1.4,85.7
2436.0,3.0,3.0,6.8,130.9
1940.0,5.0,24.0,13.6,113.1
1479.0,2.0,30.0,15.0,87.3
1391.0,5.0,11.0,14.8,110.1
607.0,1.0,19.0,4.3,45.3
2159.0,5.0,35.0,18.4,122.6
2482.0,1.0,25.0,15.9,115.0
-500.0,3.0,29.0,9.1,158.2
1938.0,1.0,21.0,22.9,80.5
1672.0,4.0,25.0,3.4,96.7
545.0,1.0,0.0,11.6,33.7
2684.0,2.0,25.0,17.1,134.6
1543.0,4.0,14.0,15.8,118.5
1706.0,3.0,8.0,10.5,100.5
860.0,1.0,4.0,12.6,48.3
710.0,3.0,0.0,4.7,76.3
2851.0,2.0,12.0,21.8,137.3
861.0,4.0,18.0,20.5,60.6
2838.0,1.0,22.0,12.6,152.6
2543.0,2.0,4.0,14.8,141.1
1190.0,4.0,9.0,2.8,83.6
2246.0,4.0,12.0,21.3,131.0
1282.0,5.0,27.0,15.0,90.6
794.0,1.0,25.0,13.2,52.4
2005.0,2.0,8.0,7.3,86.0
1483.0,4.0,34.0,15.9,82.0
1468.0,2.0,21.0,11.7,85.2
1997.0,1.0,0.0,6.3,103.1
845.0,5.0,8.0,20.0,99.7
2418.0,5.0,1.0,16.5,140.8
1714.0,4.0,14.0,5.6,83.8
2774.0,2.0,39.0,17.0,138.2
1612.0,4.0,31.0,6.2,103.0
782.0,3.0,3.0,5.9,65.3
2337.0,2.0,18.0,4.6,125.4
740.0,2.0,22.0,18.0,64.4
1656.0,5.0,20.0,9.0,130.2
1568.0,3.0,6.0,10.3,111.1
2620.0,5.0,15.0,15.7,154.4
970.0,1.0,6.0,23.7,49.8
1248.0,1.0,7.0,4.8,87.2
1585.0,4.0,39.0,12.9,90.4
2936.0,3.0,13.0,23.4,149.5
550.0,5.0,11.0,22.8,83.0
1582.0,3.0,33.0,14.7,92.2
805.0,3.0,12.0,22.7,44.3
2709.0,2.0,5.0,11.7,138.8
1595.0,1.0,4.0,19.8,87.9
2222.0,4.0,40.0,6.2,119.0
749.0,2.0,30.0,1.3,60.5
1013.0,1.0,34.0,14.8,54.5
1232.0,4.0,20.0,12.2,105.4
1888.0,4.0,11.0,21.0,107.8
1939.0,4.0,32.0,8.3,122.7
1693.0,5.0,35.0,5.8,82.7
2080.0,4.0,30.0,5.5,129.1
2884.0,4.0,34.0,22.6,138.7
1655.0,1.0,35.0,13.6,87.9
1380.0,5.0,20.0,18.0,67.5
1905.0,5.0,,24.5,123.6
1630.0,4.0,34.0,22.7,94.4
2645.0,3.0,16.0,9.7,138.0
,5.0,15.0,13.0,123.7
2937.0,3.0,24.0,18.1,158.4
1220.0,5.0,10.0,13.2,92.6
1060.0,1.0,20.0,11.5,58.4
1483.0,5.0,38.0,3.5,99.7
2945.0,4.0,28.0,9.1,152.8
1415.0,2.0,30.0,,82.9
1432.0,2.0,31.0,17.6,71.2
2085.0,5.0,19.0,4.8,111.3
2230.0,5.0,6.0,5.4,149.6
1377.0,2.0,27.0,22.6,96.7
1439.0,2.0,26.0,9.2,80.0
2779.0,,5.0,15.2,168.6
2443.0,1.0,7.0,19.7,93.0
810.0,2.0,25.0,10.4,44.8
2330.0,1.0,3.0,22.5,111.0
2783.0,1.0,8.0,4.1,138.2
604.0,2.0,29.0,18.2,50.6
1691.0,4.0,20.0,9.9,128.0
2929.0,1.0,1.0,3.3,130.1
2736.0,1.0,4.0,5.7,128.2
2215.0,2.0,24.0,2.4,137.8
2155.0,1.0,5.0,19.1,114.0
980.0,2.0,27.0,18.6,64.8
541.0,4.0,34.0,18.1,73.5
2081.0,1.0,33.0,22.2,82.1
2666.0,4.0,25.0,18.7,137.4
1075.0,4.0,22.0,23.5,89.2
2791.0,2.0,13.0,21.1,130.6
1590.0,4.0,9.0,11.9,101.7
