temperature,vibration,pressure,runtime_hours,maintenance_gap_days,power_draw,target
62.1,1.01,86.17,1.0,16,63.81,0
78.78,0.1,95.62,17.13,54,298.61,1
76.7,5.28,130.0,19.59,29,245.18,1
88.05,4.22,93.83,1.04,52,328.36,1
71.58,6.59,103.01,19.12,43,345.48,0
62.41,3.82,72.42,12.16,32,95.46,0
60.01,6.48,80.37,15.93,31,283.67,0
82.32,2.41,112.19,1.25,25,140.98,1
67.15,3.96,100.7,13.82,53,326.12,0
84.24,5.48,95.25,14.16,51,164.22,0
75.69,4.31,101.18,7.93,16,142.81,1
73.47,3.37,137.82,12.85,0,181.15,1
71.63,7.15,101.14,10.24,18,148.87,0
63.58,2.5,93.64,13.75,4,29.55,1
86.29,3.94,90.06,9.14,28,32.94,0
70.4,4.56,116.51,17.95,10,50.98,1
72.82,2.0,84.5,15.3,20,56.73,1
83.33,5.46,125.6,4.32,59,144.88,1
74.33,6.38,100.02,18.77,16,340.38,0
62.62,8.3,108.21,1.06,9,89.21,0
97.4,4.04,92.36,7.79,53,220.11,1
71.45,5.26,95.65,11.07,2,154.11,1
69.24,3.79,110.62,21.42,47,48.89,1
84.68,3.91,95.5,17.54,34,23.17,1
76.2,3.9,104.61,13.48,18,323.69,0
52.23,5.0,88.55,13.29,3,95.19,0
91.55,3.12,77.46,18.6,50,292.43,1
45.76,1.26,112.83,1.0,23,241.66,1
75.28,5.65,74.07,15.47,8,143.87,0
76.82,2.94,83.29,1.0,48,52.97,1
72.49,2.77,88.49,9.66,15,37.98,0
73.4,2.67,94.12,27.31,16,114.59,0
87.12,2.14,124.96,25.16,60,246.87,1
82.48,4.24,110.38,16.83,3,47.1,0
89.99,2.93,80.08,10.87,19,105.18,1
60.1,6.91,103.83,11.41,18,102.61,0
89.74,3.25,69.88,1.0,25,103.94,1
71.27,4.14,101.9,8.12,38,118.4,1
59.57,3.17,107.73,11.43,30,98.3,0
62.86,7.03,145.52,1.0,25,190.78,0
82.97,2.26,109.65,13.08,6,121.28,0
77.53,4.58,103.42,1.0,2,468.94,1
74.83,5.54,136.53,25.48,36,287.41,0
72.26,6.9,85.41,16.15,11,123.01,0
66.38,4.45,109.27,5.22,1,108.03,1
70.24,3.57,94.13,10.17,21,217.73,1
56.86,6.22,107.66,12.75,11,129.94,1
80.45,1.7,95.89,6.34,8,73.23,1
54.81,6.65,95.43,8.42,32,149.7,0
53.29,4.3,87.81,1.0,32,67.5,1
64.68,3.37,70.65,8.55,6,130.09,0
82.83,4.92,92.46,1.0,55,233.3,1
94.0,7.54,60.51,1.0,11,79.45,0
77.32,1.33,100.49,22.78,30,121.83,1
61.52,3.45,106.49,21.7,37,85.02,0
69.34,1.2,84.43,19.31,1,162.44,1
83.57,4.04,123.14,6.52,39,206.38,1
59.88,2.78,93.91,6.89,51,261.39,1
77.19,5.72,85.8,2.86,40,226.03,0
70.59,1.23,117.64,5.33,28,237.72,1
70.2,6.02,121.38,14.37,10,95.67,0
74.88,2.6,111.79,8.2,31,165.03,1
