sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
4,29.17,4,2.79,5,58.6,1
2,70.15,3,18.37,1,83.35,0
1,36.13,5,11.05,1,71.34,1
6,38.22,2,1.0,3,52.27,1
5,20.93,1,16.53,1,43.43,0
1,38.78,1,3.56,1,89.43,0
5,67.1,2,6.5,4,78.28,0
5,44.13,2,8.58,4,32.2,1
0,0.0,6,15.5,6,62.89,0
3,89.16,5,12.12,3,49.64,1
2,57.43,0,11.18,4,34.85,0
2,19.57,1,19.98,2,26.02,0
4,40.12,3,12.32,4,30.24,1
3,56.76,1,4.44,0,27.71,0
0,12.92,3,15.9,2,46.1,1
2,48.78,3,1.0,1,57.62,1
3,55.64,3,8.5,5,44.83,1
3,38.88,5,10.01,4,69.26,1
1,42.02,3,6.15,2,56.46,0
1,40.46,2,2.63,6,50.88,1
3,25.9,6,24.06,2,65.86,1
2,21.26,6,11.89,4,30.81,1
1,58.69,2,19.55,2,60.63,0
1,66.24,2,4.27,1,55.52,0
2,77.46,2,1.0,5,48.18,1
2,77.26,5,9.77,5,60.22,0
2,24.05,4,7.04,6,48.01,0
5,41.14,3,17.18,7,55.14,1
5,42.52,2,20.13,3,67.03,0
6,12.49,0,12.91,5,36.04,1
4,64.24,2,3.61,5,35.41,1
0,45.5,6,18.52,2,99.42,0
1,48.24,2,3.48,6,38.18,0
4,37.09,4,14.86,4,61.62,0
3,39.33,2,13.52,2,100.0,0
2,35.15,1,5.99,2,35.18,0
8,28.31,1,1.76,1,24.13,1
1,68.45,2,6.99,5,27.82,1
3,60.01,3,12.3,6,83.71,1
1,57.51,1,29.78,3,64.49,0
2,71.53,4,30.97,4,67.52,0
2,47.55,3,20.01,1,54.8,1
5,12.12,3,4.45,5,59.98,1
3,94.3,1,6.4,4,32.77,1
4,14.31,5,5.16,2,45.73,1
1,68.44,1,8.85,3,68.79,0
3,40.49,7,21.23,0,51.82,0
3,25.24,3,6.53,5,49.3,1
3,54.64,5,18.88,3,34.63,0
1,38.79,2,6.71,3,76.49,0
5,42.06,2,5.9,2,41.27,0
2,40.72,2,3.99,2,47.28,0
2,58.24,2,8.75,3,50.08,0
7,47.33,4,26.42,2,18.56,1
3,23.15,5,10.92,3,55.95,1
1,48.42,4,4.62,3,23.33,0
3,57.14,3,17.52,3,12.38,1
3,36.44,3,1.0,4,91.22,1
2,45.27,5,8.68,4,30.23,1
1,55.34,2,15.24,2,45.69,1
5,46.84,5,13.69,2,55.93,1
3,64.45,5,1.69,3,40.83,1
2,80.09,2,11.48,7,59.28,0
4,54.55,1,10.12,2,28.89,0
5,19.91,2,1.0,3,68.19,1
2,25.25,3,15.28,1,9.27,1
2,39.84,1,6.84,4,52.75,1
6,73.47,2,13.51,6,29.05,0
1,45.35,6,26.87,2,40.42,1
3,61.17,1,8.53,2,78.68,1
6,91.25,1,2.66,0,93.64,0
5,27.27,3,7.35,2,64.64,1
3,45.56,1,18.45,4,30.72,0
2,38.24,2,1.0,1,50.13,0
2,14.5,3,13.35,8,44.47,1
4,23.69,5,15.23,1,76.91,1
2,55.85,5,18.68,3,67.53,0
6,81.81,0,4.51,5,40.95,1
2,62.18,5,10.09,4,45.58,1
2,40.27,2,21.91,4,38.48,0
3,30.82,2,13.52,4,33.38,1
1,51.76,2,1.0,2,17.96,0
1,44.27,2,2.16,3,52.19,1
6,78.91,2,12.67,1,85.43,1
4,24.43,5,17.88,1,34.99,0
3,75.65,3,14.19,3,31.93,0
5,45.43,3,8.43,3,40.57,0
3,53.2,1,13.56,3,49.18,0
1,63.94,8,1.0,8,55.44,1
1,17.05,0,20.74,1,16.3,0
2,22.07,3,6.5,3,71.31,0
2,51.6,3,9.6,1,56.55,0
5,72.07,3,6.68,5,44.93,1
3,41.11,1,13.19,1,87.43,0
6,59.66,2,12.49,2,49.17,0
2,2.66,2,11.31,0,46.38,0
3,35.53,6,2.84,5,41.18,1
3,24.17,5,1.0,7,0.0,1
3,53.09,1,10.07,6,68.63,1
6,53.52,2,12.16,3,40.52,0
5,52.55,1,3.16,4,34.97,1
2,81.75,5,9.5,3,25.36,1
4,56.62,4,11.26,3,74.98,1
1,65.66,3,4.58,5,76.41,1
5,22.54,3,1.58,2,69.81,1
4,67.16,3,22.2,3,39.11,0
2,50.38,4,8.33,5,66.3,0
3,38.17,1,5.17,6,61.9,1
0,30.52,4,5.1,1,44.9,1
3,2.13,3,12.5,6,72.74,1
0,67.02,3,16.52,1,58.26,0
3,33.16,3,4.12,3,80.53,1
6,56.55,1,1.0,5,50.29,1
3,43.4,4,8.78,4,55.91,1
2,60.64,7,3.6,6,57.94,1
2,48.2,3,14.17,4,57.59,0
5,43.98,1,7.74,6,55.28,1
4,69.48,2,5.31,4,53.18,0
2,50.47,2,7.22,2,47.02,0
2,24.29,2,16.73,0,37.48,1
1,49.52,2,6.86,1,48.99,1
4,45.24,2,13.65,5,63.85,0
0,59.91,3,4.9,2,61.33,0
1,26.62,3,19.48,1,32.81,1
5,35.49,2,17.32,5,40.03,1
6,47.74,3,5.2,5,56.69,1
4,62.15,0,18.59,6,63.88,1
2,61.17,0,23.53,7,67.16,1
1,44.81,4,1.99,2,15.27,1
3,49.66,8,6.61,4,77.76,1
5,61.01,4,7.55,0,28.85,1
4,33.83,1,16.65,2,71.28,0
3,60.18,4,3.5,1,55.11,1
2,69.89,2,3.26,1,12.48,0
3,69.49,1,23.3,4,43.81,0
5,90.74,3,20.51,5,35.32,1
4,38.95,4,8.1,2,55.73,0
0,60.64,3,17.91,2,49.37,0
2,56.48,2,4.99,2,45.55,1
5,43.73,3,4.17,3,19.54,1
1,27.56,3,15.82,1,44.77,0
4,28.86,3,22.01,4,36.34,0
4,27.25,3,15.69,5,66.64,1
3,31.18,1,9.33,2,47.08,0
2,19.89,1,1.9,4,21.96,1
2,58.8,4,1.0,2,48.53,0
1,69.42,2,28.63,5,46.94,0
4,58.09,4,17.05,4,49.23,1
3,29.81,1,13.62,1,37.32,0
3,77.4,6,14.53,3,78.15,0
8,49.46,2,18.33,4,37.67,1
1,83.68,2,15.57,2,45.18,0
2,87.53,2,17.96,5,48.97,0
1,35.71,3,11.55,5,48.26,0
3,46.67,2,1.19,4,60.91,1
4,44.92,2,5.96,2,31.43,0
3,44.72,2,2.08,3,55.89,0
3,59.72,2,15.88,2,22.22,1
2,51.99,1,17.3,1,47.92,0
2,61.03,3,22.69,2,57.92,0
3,100.0,3,1.0,2,34.55,0
5,38.77,6,10.94,4,57.17,1
5,35.3,4,11.41,2,66.78,0
4,44.65,2,7.4,1,54.02,0
3,60.14,1,7.49,5,44.51,1
2,51.08,5,21.55,2,85.26,0
3,52.09,1,13.9,1,75.53,0
8,87.86,1,17.48,6,52.72,1
3,34.46,2,14.62,3,55.15,1
2,40.27,3,13.73,2,25.77,0
4,51.14,1,8.64,7,27.1,1
2,70.93,1,10.02,5,48.57,0
1,65.2,3,18.99,1,49.91,0
2,55.95,4,10.94,4,2.44,0
3,23.25,4,21.89,2,69.88,0
1,27.51,1,8.26,4,19.19,1
1,37.57,3,2.73,5,48.81,1
2,38.22,3,12.58,6,42.3,1
1,42.46,2,23.16,3,58.0,0
4,30.45,2,5.38,1,51.18,0
2,1.58,3,10.59,1,66.88,1
2,81.29,7,14.78,3,27.93,1
1,43.94,3,8.11,2,25.43,0
2,62.0,5,9.95,1,72.73,1
2,47.54,1,18.78,3,68.58,0
2,46.17,3,9.66,2,39.89,0
4,33.57,2,17.65,4,43.3,1
3,32.69,6,3.3,2,60.06,1
3,52.14,3,1.51,1,50.3,0
