order_value,item_count,discount_pct,customer_return_rate,delivery_days,category_risk,target
167.23,0,56.44,47.39,9,5,1
252.38,0,77.75,18.12,3,2,1
43.0,2,36.74,68.95,37,5,0
116.83,3,75.15,41.31,2,5,0
217.44,2,35.47,72.17,49,5,1
319.65,4,57.85,46.31,5,4,1
189.76,0,54.18,63.47,28,3,0
72.79,2,53.01,68.07,34,3,0
114.83,6,76.71,19.92,31,2,1
205.05,2,57.83,65.28,26,1,1
131.33,1,42.69,61.73,53,3,1
85.94,4,37.84,60.93,0,2,0
117.73,2,52.48,16.99,25,3,1
211.32,7,96.59,34.06,38,4,1
131.74,1,88.33,35.01,37,1,1
457.84,3,79.46,54.41,25,5,1
255.92,2,50.44,53.4,36,3,1
160.29,0,21.3,42.42,35,3,0
326.72,0,50.13,73.63,26,3,1
118.45,2,56.89,45.51,30,2,1
67.08,5,42.51,69.31,22,3,0
170.26,2,43.1,43.18,13,1,1
272.76,1,35.21,44.21,18,3,0
99.85,1,24.92,55.44,40,5,0
157.91,2,59.18,60.95,13,1,1
128.22,2,77.53,60.7,46,5,1
432.78,6,49.53,44.06,4,1,1
130.07,3,55.42,49.93,4,3,0
124.71,7,59.93,79.53,22,3,0
74.9,3,41.44,12.12,59,5,1
77.83,4,66.32,75.22,44,1,1
73.67,0,35.85,51.65,60,1,1
191.04,1,29.59,11.96,21,3,0
68.11,3,61.04,67.82,20,3,1
376.61,4,32.39,32.87,15,1,1
386.77,3,77.76,48.48,37,5,1
246.06,2,32.17,60.04,29,2,1
145.03,3,41.27,44.2,48,3,1
208.96,1,49.63,42.39,49,3,1
346.94,1,73.3,50.61,55,4,1
126.69,0,28.66,43.66,55,3,1
87.38,3,37.96,55.68,20,5,0
64.87,1,28.61,53.27,16,3,0
224.8,4,46.18,67.4,42,1,1
98.43,2,92.09,37.36,6,4,1
109.83,1,45.25,40.39,2,1,0
110.65,3,31.55,33.27,40,2,0
201.69,4,58.77,69.32,51,3,0
100.46,3,39.12,72.47,0,4,0
110.73,1,39.17,69.51,24,1,1
344.85,4,35.7,57.84,36,4,0
81.68,5,42.65,50.75,49,2,1
125.35,4,21.37,53.73,7,1,1
239.67,2,46.01,55.51,46,4,1
164.68,5,64.4,64.54,40,4,0
627.78,5,36.29,44.38,32,3,1
122.97,5,56.12,49.72,3,2,0
180.61,4,40.55,35.23,21,2,0
297.63,1,64.25,60.45,22,1,1
97.3,3,86.45,34.04,30,1,1
624.23,2,66.3,85.53,42,4,1
148.9,5,31.67,49.01,48,3,0
80.57,2,35.85,70.93,7,4,0
377.73,5,65.82,59.55,57,5,0
96.2,4,47.42,74.73,1,4,0
134.26,4,17.74,43.5,35,4,0
80.72,1,57.41,42.38,14,3,1
362.45,2,42.97,60.13,12,4,0
172.29,3,39.65,32.8,53,2,1
110.15,4,51.86,50.46,16,4,0
154.87,5,80.65,58.64,10,3,1
64.0,3,34.98,14.34,35,3,1
121.91,3,0.0,40.14,1,1,0
94.71,3,35.66,56.51,44,1,1
200.42,3,79.46,62.19,34,2,1
392.63,6,54.79,46.73,4,5,0
170.22,6,6.42,35.8,23,5,0
212.19,3,19.63,69.85,0,1,1
94.68,1,37.06,56.23,45,3,1
38.42,5,69.48,44.84,9,3,0
57.92,3,100.0,50.69,35,3,1
241.19,5,48.33,35.54,33,1,1
83.47,3,82.5,46.68,9,4,0
249.3,0,28.14,37.48,7,3,1
78.16,1,45.58,63.0,60,5,0
146.62,4,38.75,64.08,45,2,0
116.12,7,83.5,67.93,59,5,0
98.62,7,100.0,58.55,19,4,0
440.5,2,55.67,65.08,41,4,1
72.13,3,81.82,38.72,48,3,0
89.36,4,55.75,45.13,13,5,0
203.8,1,42.17,45.1,39,4,0
290.94,2,50.6,54.53,36,5,0
526.34,2,17.31,33.52,44,3,0
473.69,2,47.82,72.18,32,5,0
173.52,1,64.02,5.66,1,3,1
168.2,3,25.51,63.83,11,4,0
140.73,6,55.82,54.0,19,3,0
77.95,5,59.48,56.02,23,4,0
87.24,5,65.33,32.62,10,1,1
107.97,2,35.01,88.43,55,5,1
856.93,0,69.28,53.41,32,1,1
57.11,1,52.65,61.48,15,2,1
146.09,0,34.87,26.67,21,1,1
105.81,3,28.97,42.89,19,5,0
29.31,4,12.7,34.34,57,1,1
33.02,4,51.32,45.5,59,5,0
146.55,3,69.35,47.3,46,4,1
372.49,2,82.84,20.61,24,2,1
35.33,5,47.7,53.35,50,4,1
233.58,1,4.16,56.73,47,1,0
155.32,1,68.35,64.57,39,1,1
208.23,2,79.59,54.44,8,1,1
253.35,6,26.01,7.2,9,3,1
45.2,6,39.62,54.54,43,5,0
100.38,2,39.78,57.02,50,2,0
97.28,4,56.73,49.68,18,1,1
239.27,0,63.91,76.55,6,2,1
164.58,2,53.33,74.27,5,3,0
316.45,5,38.65,57.19,40,3,1
162.86,3,54.49,72.31,47,1,0
408.36,5,67.13,79.6,43,4,0
197.07,6,88.07,71.81,10,2,0
84.15,7,49.46,64.96,6,4,0
250.53,2,49.98,44.37,49,2,1
142.61,2,68.96,63.2,30,1,1
85.1,3,45.63,53.37,45,5,1
41.29,3,18.92,47.59,18,2,1
255.29,4,44.51,50.0,27,2,1
129.42,2,75.21,48.38,17,5,1
108.89,1,51.16,61.02,11,1,0
161.7,3,73.67,25.46,27,5,1
82.95,0,63.0,77.7,28,4,0
110.86,3,30.83,65.11,24,4,0
59.33,4,50.26,19.07,35,3,1
157.89,2,1.49,45.21,52,4,1
54.05,4,35.96,41.59,59,3,1
137.13,2,40.77,62.96,16,4,0
268.12,4,70.75,62.75,33,4,0
510.51,2,56.02,20.36,52,2,1
25.52,3,54.83,49.28,1,3,0
515.51,4,83.83,52.25,1,1,1
22.38,2,35.31,62.32,42,4,1
271.46,4,42.02,53.95,59,2,1
44.08,2,0.0,33.89,1,1,0
97.3,2,34.61,70.57,19,2,1
82.95,3,43.87,66.38,38,4,1
77.29,4,34.0,0.0,10,1,1
260.17,3,58.42,57.89,24,5,0
232.13,6,29.7,57.08,5,1,0
120.82,0,38.3,40.54,52,5,1
178.19,2,49.79,53.95,6,3,0
97.09,4,63.97,52.25,17,5,1
110.69,4,56.8,33.87,41,4,0
115.74,3,29.3,24.37,13,4,0
315.42,3,56.09,59.5,26,4,1
257.55,1,9.16,38.24,35,3,0
165.17,3,72.32,53.24,47,1,0
61.3,3,24.94,49.91,58,4,1
305.66,2,27.76,53.64,17,1,1
189.29,1,58.67,22.32,53,3,1
222.49,3,24.95,30.17,8,2,0
155.36,5,42.17,62.81,17,5,0
57.86,1,40.8,31.67,43,4,1
127.23,4,74.51,95.91,60,1,0
211.05,3,54.26,29.06,5,1,0
514.44,5,66.74,41.8,9,5,0
62.85,6,25.51,39.61,51,4,1
70.62,6,31.2,61.35,28,5,0
192.5,2,55.28,32.84,1,3,1
156.97,2,57.29,40.19,52,1,1
112.0,3,54.04,42.98,33,4,1
82.18,2,72.36,65.22,29,2,1
52.0,2,5.01,56.69,43,1,1
126.55,1,54.89,31.71,59,3,0
244.39,5,33.02,4.39,4,1,0
126.26,5,21.35,44.6,57,5,1
95.69,1,18.89,21.83,15,5,0
128.51,3,60.63,35.41,53,1,0
42.37,5,50.77,46.68,38,2,0
176.62,0,63.53,29.04,58,4,1
290.09,1,44.1,56.14,57,4,0
442.24,2,28.93,27.62,6,5,0
17.41,7,70.62,49.6,14,3,0
517.91,6,69.6,63.34,42,2,0
61.43,3,26.94,36.89,17,3,0
42.06,3,58.7,60.1,45,1,0
259.0,2,39.08,48.96,35,1,1
185.84,4,30.98,62.78,23,3,0
411.81,1,15.23,55.27,7,4,1
251.03,4,29.8,40.18,56,3,1
339.18,2,43.89,25.77,58,4,1
168.65,2,57.53,20.69,33,5,1
671.22,3,58.56,60.0,50,3,1
93.59,3,93.11,69.54,55,1,1
93.64,2,69.58,38.53,31,1,1
101.65,7,61.06,21.21,26,4,0
80.26,2,64.44,28.23,9,3,1
58.2,3,36.09,31.83,1,4,0
264.41,2,55.29,40.51,60,1,1
162.88,0,19.33,49.1,50,3,0
397.55,1,94.6,73.1,11,5,0
324.96,2,35.33,71.58,2,5,0
547.9,2,92.56,70.86,51,1,1
251.58,3,78.6,48.45,26,1,1
13.07,2,25.63,55.85,19,3,0
125.14,8,46.76,37.55,60,4,0
59.81,3,74.38,51.48,23,1,0
51.95,5,23.67,59.55,59,3,0
44.1,1,55.26,21.69,16,4,0
364.93,6,43.22,55.76,8,2,0
100.59,3,14.25,18.53,45,3,0
359.03,3,45.13,66.06,48,1,0
82.8,5,28.62,53.56,9,2,0
186.94,4,56.95,81.42,34,2,1
135.41,4,27.76,45.06,21,3,0
251.62,2,21.1,41.56,32,1,0
295.83,0,47.18,80.63,31,3,0
420.94,2,62.69,28.05,50,4,1
48.13,4,59.58,48.24,51,4,0
555.0,4,70.41,92.46,10,1,1
75.63,1,54.19,33.06,12,2,0
150.43,4,47.42,50.05,44,3,0
526.01,4,36.08,72.81,1,4,0
279.3,6,69.83,84.13,30,4,1
58.08,2,27.89,54.81,17,3,0
93.44,2,20.37,70.22,58,3,1
73.65,1,68.19,43.57,25,3,0
260.46,2,41.2,65.69,49,5,0
51.16,2,9.0,71.4,6,3,0
172.62,2,45.63,77.15,13,5,0
146.08,3,53.81,38.79,54,3,1
222.02,5,67.33,64.81,14,1,0
95.08,3,64.02,34.98,6,3,0
104.93,1,53.65,82.45,25,1,1
131.78,2,36.24,65.32,49,2,1
180.96,4,82.52,73.79,6,3,1
159.3,3,42.82,59.5,55,1,1
125.65,4,58.04,32.53,26,1,1
136.65,1,56.99,37.01,40,2,1
284.71,5,58.84,23.22,1,1,1
146.37,9,31.45,48.8,32,3,0
145.4,1,34.67,63.18,18,4,0
219.28,4,76.96,75.54,13,4,0
237.2,3,43.39,51.41,35,2,1
103.59,1,35.24,63.31,24,1,1
103.45,0,88.88,47.4,16,4,1
556.49,5,54.89,67.78,45,4,0
200.85,5,46.32,52.61,57,5,0
330.17,2,54.52,71.11,24,2,0
225.3,3,50.19,65.08,19,1,1
141.5,4,94.72,86.63,14,5,1
38.89,1,40.79,62.44,38,3,0
